mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;porcentage_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Zaafrane;الزعفران - دير الكاف;Liste partisane;Ennahdha;حزب حركة النھضة;349;0,260253542;5;5767;133;46;1341;1520
Ezzahra;الزهراء;Liste partisane;Ennahdha;حزب حركة النھضة;1446;0,184321224;5;20136;259;136;7845;8240
Ezzouhour;الزهور;Liste partisane;Ennahdha;حزب حركة النھضة;598;0,181377009;3;8661;149;53;3297;3499
Ezzouhour - Kasserine;الزهور - القصرين;Liste partisane;Ennahdha;حزب حركة النھضة;1018;0,221304348;4;14131;231;71;4600;4902
Sahline Môotmar;الساحلين - معتمر;Liste partisane;Ennahdha;حزب حركة النھضة;1502;0,350770668;6;9833;212;85;4282;4579
Sbikha;السبيخة;Liste partisane;Ennahdha;حزب حركة النھضة;1369;0,22303682;5;17576;359;83;6138;6580
Sers;السرس;Liste partisane;Ennahdha;حزب حركة النھضة;674;0,231456044;4;9432;291;70;2912;3273
Esslouguia;السلوقية;Liste partisane;Ennahdha;حزب حركة النھضة;358;0,264988897;3;3172;30;31;1351;1412
Sned;السند;Liste partisane;Ennahdha;حزب حركة النھضة;1077;0,242022472;4;10501;135;82;4450;4667
Essouassi;السواسي;Liste partisane;Ennahdha;حزب حركة النھضة;2303;0,388037068;10;11967;193;113;5935;6241
Chebba;الشابة;Liste partisane;Ennahdha;حزب حركة النھضة;753;0,097437888;2;16689;231;115;7728;8074
Chebika;الشبيكة;Liste partisane;Ennahdha;حزب حركة النھضة;1436;0,369436583;7;8827;269;68;3887;4224
Cherahil;شراحيل;Liste partisane;Ennahdha;حزب حركة النھضة;244;0,276958002;3;2089;36;7;881;924
Echrarda;الشراردة;Liste partisane;Ennahdha;حزب حركة النھضة;1162;0,543752925;10;6942;93;31;2137;2261
Cheraitia ksour;الشرايطية - القصور;Liste partisane;Ennahdha;حزب حركة النھضة;720;0,461538462;8;4864;131;51;1560;1742
Charaê - Machrek Echems;الشرائع - مشرق الشمس;Liste partisane;Ennahdha;حزب حركة النھضة;1092;0,251381215;5;11743;224;95;4344;4663
Ech Cherifet;الشريفات - بوشراي;Liste partisane;Ennahdha;حزب حركة النھضة;167;0,056228956;1;5542;146;32;2970;3148
Skhira;الصخيرة;Liste partisane;Ennahdha;حزب حركة النھضة;962;0,109479914;3;16268;254;95;8787;9136
Smar;الصمار;Liste partisane;Ennahdha;حزب حركة النھضة;1248;0,539325843;10;5927;80;36;2314;2430
Somâa;الصمعة;Liste partisane;Ennahdha;حزب حركة النھضة;939;0,364377183;4;4634;94;45;2577;2716
Touiref;الطويرف;Liste partisane;Ennahdha;حزب حركة النھضة;397;0,331939799;4;3001;88;38;1196;1322
El Alia;العالية;Liste partisane;Ennahdha;حزب حركة النھضة;2423;0,634958071;15;17717;247;118;3816;4181
El Amra;العامرة;Liste partisane;Ennahdha;حزب حركة النھضة;2418;0,581389757;14;13596;166;78;4159;4403
El Aroussa;العروسة;Liste partisane;Ennahdha;حزب حركة النھضة;547;0,276262626;3;4777;76;32;1980;2088
El Achech;العشاش بوجربوع العوادنة ماجل الدرج;Liste partisane;Ennahdha;حزب حركة النھضة;722;0,216232405;4;8670;154;57;3339;3550
El Alaa;العلا;Liste partisane;Ennahdha;حزب حركة النھضة;1493;0,358807979;9;12298;387;97;4161;4645
El Amaiem;العمايم;Liste partisane;Ennahdha;حزب حركة النھضة;409;0,165654111;3;6337;120;38;2469;2627
El Aouabed El Khazanet;العوابد - الخزانات;Liste partisane;Ennahdha;حزب حركة النھضة;1645;0,361936194;9;12781;131;91;4545;4767
El Ain;العين;Liste partisane;Ennahdha;حزب حركة النھضة;4402;0,416186064;10;28468;247;196;10577;11020
El Ayoun;العيون;Liste partisane;Ennahdha;حزب حركة النھضة;168;0,038611813;1;8435;207;63;4351;4621
Ghraiba;الغريبة;Liste partisane;Ennahdha;حزب حركة النھضة;644;0,346795907;6;7670;90;46;1857;1993
El Fahs;الفحص;Liste partisane;Ennahdha;حزب حركة النھضة;904;0,177046612;4;15911;232;119;5106;5457
El Faouar;الفوار;Liste partisane;Ennahdha;حزب حركة النھضة;1672;0,323529412;6;9566;215;75;5168;5458
Grimet Hicher;القريمات - هيشر;Liste partisane;Ennahdha;حزب حركة النھضة;652;0,174424826;3;6898;143;55;3738;3936
El Ksar;القصر;Liste partisane;Ennahdha;حزب حركة النھضة;1306;0,283913043;7;12791;192;70;4600;4862
Kasserine;القصرين;Liste partisane;Ennahdha;حزب حركة النھضة;1532;0,256315878;6;19675;204;83;5977;6264
El Ksour;القصور;Liste partisane;Ennahdha;حزب حركة النھضة;605;0,236235845;4;7777;165;75;2561;2801
El Guetar;القطار;Liste partisane;Ennahdha;حزب حركة النھضة;881;0,210564054;4;10813;200;60;4184;4444
El Golaa;القلعة;Liste partisane;Ennahdha;حزب حركة النھضة;1706;0,60453579;7;5005;57;41;2822;2920
Kalaat Khasbat;القلعة الخصباء;Liste partisane;Ennahdha;حزب حركة النھضة;369;0,180087848;2;3766;136;43;2049;2228
Kalaa Sghira;القلعة الصغرى;Liste partisane;Ennahdha;حزب حركة النھضة;1410;0,256410256;6;16450;178;125;5499;5802
Kalaa Kebira;القلعة الكبرى;Liste partisane;Ennahdha;حزب حركة النھضة;1856;0,224778975;7;22671;276;123;8257;8656
El Kalaa El Maaden Forgassen;القلعة - المعدن - فرقصان;Liste partisane;Ennahdha;حزب حركة النھضة;329;0,220657277;4;4183;60;40;1491;1591
Kairouan;القيروان;Liste partisane;Ennahdha;حزب حركة النھضة;7562;0,402234043;15;71387;636;310;18800;19746
Le Kef;الكاف;Liste partisane;Ennahdha;حزب حركة النھضة;1477;0,148412379;5;35526;456;192;9952;10600
Le Kram;الكرم;Liste partisane;Ennahdha;حزب حركة النھضة;2329;0,308109538;9;30179;346;268;7559;8173
El Krib;الكريب;Liste partisane;Ennahdha;حزب حركة النھضة;798;0,168996188;3;9651;239;96;4722;5057
Metlaoui;المتلوي;Liste partisane;Ennahdha;حزب حركة النھضة;1827;0,187943627;4;21966;260;103;9721;10084
Mahrés;المحرص;Liste partisane;Ennahdha;حزب حركة النھضة;641;0,121654963;3;16606;145;74;5269;5488
Mohamedia;المحمدية;Liste partisane;Ennahdha;حزب حركة النھضة;4455;0,6;18;26031;383;208;7425;8016
El Marja;المرجى;Liste partisane;Ennahdha;حزب حركة النھضة;330;0,414572864;5;2520;88;45;796;929
La Marsa;المرسى;Liste partisane;Ennahdha;حزب حركة النھضة;2232;0,117479867;4;51807;355;266;18999;19620
La Mornaguia;المرناقية;Liste partisane;Ennahdha;حزب حركة النھضة;2074;0,446693948;11;14449;215;93;4643;4951
El Mourouj;المروج;Liste partisane;Ennahdha;حزب حركة النھضة;4669;0,319357045;12;50600;325;195;14620;15140
El Messaadine;المسعدين;Liste partisane;Ennahdha;حزب حركة النھضة;1185;0,471735669;8;5363;48;38;2512;2598
El Masdour Menzel Harb;مصدور - منزل حرب;Liste partisane;Ennahdha;حزب حركة النھضة;274;0,160987074;2;2453;55;22;1702;1779
El Metouia;المطوية;Liste partisane;Ennahdha;حزب حركة النھضة;1292;0,336897001;6;7459;117;40;3835;3992
Mdhila;المظيلة;Liste partisane;Ennahdha;حزب حركة النھضة;855;0;4;8969;176;47;4274;4497
El Maagoula;المعقولة;Liste partisane;Ennahdha;حزب حركة النھضة;696;0,368253968;7;6848;158;79;1890;2127
El Maamoura;المعمورة;Liste partisane;Ennahdha;حزب حركة النھضة;768;0,254810883;3;4687;67;42;3014;3123
Meknassy;المكناسي;Liste partisane;Ennahdha;حزب حركة النھضة;1097;0,2194;4;14929;217;78;5000;5295
Moknine;المكنين;Liste partisane;Ennahdha;حزب حركة النھضة;1370;0,140067478;4;25874;229;99;9781;10109
Monastir;المنستير;Liste partisane;Ennahdha;حزب حركة النھضة;2416;0,138397205;4;46430;384;209;17457;18050
El Mansoura;المنصورة;Liste partisane;Ennahdha;حزب حركة النھضة;575;0,454545455;5;4392;59;21;1265;1345
Mnihla;المنيهلة;Liste partisane;Ennahdha;حزب حركة النھضة;3337;0,47952292;14;30959;276;214;6959;7449
Mahdia;المهدية;Liste partisane;Ennahdha;حزب حركة النھضة;1831;0,175282405;5;28714;287;181;10446;10914
El Mida;الميدة;Liste partisane;Ennahdha;حزب حركة النھضة;1221;0,261456103;6;12970;209;92;4670;4971
Ennadhour;الناظور;Liste partisane;Ennahdha;حزب حركة النھضة;1285;0,169012232;4;16444;360;171;7603;8134
Ennadhour Sidi Ali Belabed;الناظور - سيدي علي بلعابد;Liste partisane;Ennahdha;حزب حركة النھضة;1502;0,48373591;9;8968;90;56;3105;3251
Ennasr;النصر;Liste partisane;Ennahdha;حزب حركة النھضة;938;0,369000787;7;8129;74;53;2542;2669
Enfidha;النفيضة;Liste partisane;Ennahdha;حزب حركة النھضة;1411;0,203343421;5;15065;375;140;6939;7454
Ennour;النور;Liste partisane;Ennahdha;حزب حركة النھضة;1438;0,240588924;6;22947;282;119;5977;6378
El Haouaria;الهوارية;Liste partisane;Ennahdha;حزب حركة النھضة;964;0,247560349;6;13798;192;101;3894;4187
El Ouerdanine;الوردانين;Liste partisane;Ennahdha;حزب حركة النھضة;1225;0,249898001;5;10018;178;111;4902;5191
Oueslatia;الوسلاتية;Liste partisane;Ennahdha;حزب حركة النھضة;821;0,166463909;4;14209;355;107;4932;5394
Moulares;أم العرائس;Liste partisane;Ennahdha;حزب حركة النھضة;1332;0,197245669;4;16004;256;102;6753;7111
Utique;أوتيك;Liste partisane;Ennahdha;حزب حركة النھضة;544;0,185665529;3;7489;143;79;2930;3152
Ouled Chamekh;أولاد شامخ;Liste partisane;Ennahdha;حزب حركة النھضة;1094;0,278584161;5;9706;236;80;4710;5026
Ouled Haffouz;أولاد حفوز;Liste partisane;Ennahdha;حزب حركة النھضة;708;0,156602522;3;13452;176;91;4521;4788
Beja;باجة;Liste partisane;Ennahdha;حزب حركة النھضة;2815;0,268376394;8;41646;586;314;10489;11389
Le Bardo;باردو;Liste partisane;Ennahdha;حزب حركة النھضة;3457;0,264215836;8;44901;329;209;13084;13622
Baten Elghezel;باطن الغزال;Liste partisane;Ennahdha;حزب حركة النھضة;465;0,187802908;3;7016;127;63;2476;2666
Borj El Amri;برج العامري;Liste partisane;Ennahdha;حزب حركة النھضة;871;0,330424886;6;9449;180;56;2636;2872
Bargou;برقو;Liste partisane;Ennahdha;حزب حركة النھضة;413;0,139010434;3;6758;160;43;2971;3174
Béchri Fatnassa;بشري فطناسة;Liste partisane;Ennahdha;حزب حركة النھضة;464;0,211775445;2;5902;121;65;2191;2377
Bchelli;بشلي - جرسين - البليدات;Liste partisane;Ennahdha;حزب حركة النھضة;1566;0,486788934;9;7042;79;44;3217;3340
Belkhir;بلخير;Liste partisane;Ennahdha;حزب حركة النھضة;959;0,400417537;7;7800;110;46;2395;2551
Balta Bouawene;بلطة بوعوان;Liste partisane;Ennahdha;حزب حركة النھضة;963;0,350819672;8;12523;225;101;2745;3071
Ben Arous;بن عروس;Liste partisane;Ennahdha;حزب حركة النھضة;4191;0,352807475;11;46708;536;246;11879;12661
Ben Guerdane;بن قردان;Liste partisane;Ennahdha;حزب حركة النھضة;6019;0,489747762;15;32112;311;152;12290;12753
Benen Bodher;بنان - بوضر;Liste partisane;Ennahdha;حزب حركة النھضة;643;0,171329603;3;6930;85;59;3753;3897
Bembla;بنبلة - المنارة;Liste partisane;Ennahdha;حزب حركة النھضة;880;0,24289263;4;6930;118;52;3623;3793
Bizerte;بنزرت;Liste partisane;Ennahdha;حزب حركة النھضة;6872;0,362389917;16;80820;950;445;18963;20358
Bennour;الفائض بنور;Liste partisane;Ennahdha;حزب حركة النھضة;662;0,240902475;4;11866;149;61;2748;2958
Beni Hassen;بني حسان;Liste partisane;Ennahdha;حزب حركة النھضة;494;0,168715847;2;5127;101;33;2928;3062
Beni Khedech;بني خداش;Liste partisane;Ennahdha;حزب حركة النھضة;2820;0,634278003;15;14709;186;97;4446;4729
Beni Khalled;بني خلاد;Liste partisane;Ennahdha;حزب حركة النھضة;906;0,200708906;5;14529;189;77;4514;4780
Beni Khiar;بني خيار;Liste partisane;Ennahdha;حزب حركة النھضة;2014;0,321058505;8;13548;211;153;6273;6637
Beni M'tir;بني مطير;Liste partisane;Ennahdha;حزب حركة النھضة;377;0,330122592;4;2793;85;15;1142;1242
Bahra;بهرة;Liste partisane;Ennahdha;حزب حركة النھضة;266;0,251180359;3;2799;115;24;1059;1198
Bou Hjar;بوحجر;Liste partisane;Ennahdha;حزب حركة النھضة;278;0,146624473;2;3396;56;27;1896;1979
Bouhajla;بوحجلة;Liste partisane;Ennahdha;حزب حركة النھضة;1872;0,290142591;9;23521;306;81;6452;6839
Bourouis;بورويس;Liste partisane;Ennahdha;حزب حركة النھضة;596;0,211122919;4;6659;136;130;2823;3089
Bouzguam;بوزقام;Liste partisane;Ennahdha;حزب حركة النھضة;433;0,116491794;2;7039;130;71;3717;3918
Bou Salem;بوسالم;Liste partisane;Ennahdha;حزب حركة النھضة;1481;0,241874898;6;20587;375;104;6123;6602
Bouchemma;بوشمة;Liste partisane;Ennahdha;حزب حركة النھضة;825;0,356679637;6;6133;80;44;2313;2437
Bou Arada;بوعرادة;Liste partisane;Ennahdha;حزب حركة النھضة;942;0,299713649;5;9568;170;84;3143;3397
Bou Argoub;بوعرقوب;Liste partisane;Ennahdha;حزب حركة النھضة;1088;0,196887441;5;16170;266;99;5526;5891
Boughrara;بوغرارة;Liste partisane;Ennahdha;حزب حركة النھضة;1010;0,458673933;6;3567;66;32;2202;2300
Bouficha;بوفيشة;Liste partisane;Ennahdha;حزب حركة النھضة;2009;0,321800416;8;12531;283;109;6243;6635
Boumerdes;بومرداس;Liste partisane;Ennahdha;حزب حركة النھضة;486;0,123695597;2;7255;133;52;3929;4114
Bou Mhel El Bassatine;بومهل البساتين;Liste partisane;Ennahdha;حزب حركة النھضة;1801;0,305720591;7;18334;201;123;5891;6215
Bir Lahmar;بئر الأحمر;Liste partisane;Ennahdha;حزب حركة النھضة;438;0,296547055;4;3830;35;28;1477;1540
Bir El Hafey;بئر الحفي;Liste partisane;Ennahdha;حزب حركة النھضة;799;0,180851064;4;15326;147;64;4418;4629
Bir Ali Ben Khelifa;بئر علي بن خليفة;Liste partisane;Ennahdha;حزب حركة النھضة;1865;0,407294169;10;14157;151;53;4579;4783
Bir M'chergua;بئر مشارقة;Liste partisane;Ennahdha;حزب حركة النھضة;631;0,231389806;4;7220;91;58;2727;2876
Tajerouine;تاجروين;Liste partisane;Ennahdha;حزب حركة النھضة;1438;0,292931351;7;14322;345;80;4909;5334
Tazarka;تازركة;Liste partisane;Ennahdha;حزب حركة النھضة;864;0,287138584;4;5385;103;60;3009;3172
Takelsa;تاكلسة;Liste partisane;Ennahdha;حزب حركة النھضة;1574;0,28299173;5;13013;246;74;5562;5882
Thala;تالة;Liste partisane;Ennahdha;حزب حركة النھضة;1173;0,272854152;7;16363;362;102;4299;4763
Teboursouk;تبرسق;Liste partisane;Ennahdha;حزب حركة النھضة;628;0,208568582;4;10219;276;70;3011;3357
Tazaghrane;تزغران - زاوية المقايز;Liste partisane;Ennahdha;حزب حركة النھضة;986;0,260089686;5;8277;196;101;3791;4088
Testour;تستور;Liste partisane;Ennahdha;حزب حركة النھضة;1119;0,238186462;6;13521;220;127;4698;5045
Tataouine;تطاوين;Liste partisane;Ennahdha;حزب حركة النھضة;4099;0,465795455;14;37780;211;153;8800;9164
Tataouine Sud;تطاوين الجنوبية;Liste partisane;Ennahdha;حزب حركة النھضة;402;0,317535545;4;3997;52;18;1266;1336
Telept;تلابت;Liste partisane;Ennahdha;حزب حركة النھضة;305;0,110227683;2;8201;152;35;2767;2954
Talalsa;تلالسة;Liste partisane;Ennahdha;حزب حركة النھضة;496;0,313924051;6;5672;122;47;1580;1749
Tameghza;تمغزة;Liste partisane;Ennahdha;حزب حركة النھضة;1202;0,536846807;6;4381;101;36;2239;2376
Tozeur;توزر;Liste partisane;Ennahdha;حزب حركة النھضة;1967;0,23269845;6;27942;279;167;8453;8899
Tunis;تونس;Liste partisane;Ennahdha;حزب حركة النھضة;25665;0,322550239;21;328134;2831;2058;79569;84458
Tibar;تيبار;Liste partisane;Ennahdha;حزب حركة النھضة;517;0,391963609;7;5281;134;33;1319;1486
Tinja;تينجة;Liste partisane;Ennahdha;حزب حركة النھضة;1083;0,329780755;6;10112;213;105;3284;3602
Jebel Oust;جبل الوسط;Liste partisane;Ennahdha;حزب حركة النھضة;133;0,051410901;1;4271;67;41;2587;2695
Djebeniana;جبنيانة;Liste partisane;Ennahdha;حزب حركة النھضة;1640;0,391875747;9;14702;224;101;4185;4510
Djedeliane;جدليان;Liste partisane;Ennahdha;حزب حركة النھضة;295;0,09004884;2;6741;221;48;3276;3545
Zarzis;جرجيس;Liste partisane;Ennahdha;حزب حركة النھضة;3427;0,41125645;10;21168;220;105;8333;8658
Zarzis Nord;جرجيس الشمالية;Liste partisane;Ennahdha;حزب حركة النھضة;2284;0,370178282;9;15515;187;130;6170;6487
Jilma;جلمة;Liste partisane;Ennahdha;حزب حركة النھضة;1699;0,333595131;6;13383;204;111;5093;5408
Jammel;جمال;Liste partisane;Ennahdha;حزب حركة النھضة;1582;0,179080824;5;22244;194;75;8834;9103
Jemna;جمنة;Liste partisane;Ennahdha;حزب حركة النھضة;543;0,303691275;4;3992;51;31;1788;1870
Jendouba;جندوبة;Liste partisane;Ennahdha;حزب حركة النھضة;3502;0,344820796;13;49945;579;303;10156;11038
Jehina;جهينة;Liste partisane;Ennahdha;حزب حركة النھضة;275;0,171339564;2;3727;109;50;1605;1764
Joumine;جومين;Liste partisane;Ennahdha;حزب حركة النھضة;592;0,129060388;3;11736;416;130;4587;5133
Hajeb El Ayoun;حاجب العيون;Liste partisane;Ennahdha;حزب حركة النھضة;746;0,131268696;2;11965;330;101;5683;6114
Hassi El Ferid;حاسي الفريد;Liste partisane;Ennahdha;حزب حركة النھضة;1548;0,348413234;6;9162;206;75;4443;4724
Hamet Ejrid;حامة الجريد;Liste partisane;Ennahdha;حزب حركة النھضة;490;0,310322989;4;4932;103;47;1579;1729
Hazeg El Louza;حزق - اللوزة;Liste partisane;Ennahdha;حزب حركة النھضة;1620;0,56269538;10;8203;118;82;2879;3079
Hazoua;حزوة;Liste partisane;Ennahdha;حزب حركة النھضة;548;0,275515334;3;3450;97;23;1989;2109
Haffouz;حفوز;Liste partisane;Ennahdha;حزب حركة النھضة;1953;0,356712329;9;13717;267;126;5475;5868
La Goulette;حلق الوادي;Liste partisane;Ennahdha;حزب حركة النھضة;1675;0,228263832;5;23448;210;172;7338;7720
Hammam Lif;حمام الأنف;Liste partisane;Ennahdha;حزب حركة النھضة;2365;0,286250303;7;22538;299;110;8262;8671
Hammam Chott;حمام الشط;Liste partisane;Ennahdha;حزب حركة النھضة;1377;0,221596395;5;18086;220;97;6214;6531
Hammam El Ghezaz;حمام الغزاز;Liste partisane;Ennahdha;حزب حركة النھضة;948;0,427219468;5;5031;69;43;2219;2331
Hammam Sousse;حمام سوسة;Liste partisane;Ennahdha;حزب حركة النھضة;1138;0,113459621;3;26781;294;179;10030;10503
Houmt Souk;حومة السوق;Liste partisane;Ennahdha;حزب حركة النھضة;5436;0,426620625;13;33306;260;166;12742;13168
Hidra;حيدرة;Liste partisane;Ennahdha;حزب حركة النھضة;486;0,212784588;3;4973;106;43;2284;2433
Khmouda;خمودة;Liste partisane;Ennahdha;حزب حركة النھضة;795;0,334736842;6;6186;98;31;2375;2504
Khenis;خنيس;Liste partisane;Ennahdha;حزب حركة النھضة;841;0,345379877;6;5642;60;37;2435;2532
Dar Chaabane El Fehri;دار شعبان;Liste partisane;Ennahdha;حزب حركة النھضة;2822;0,303767492;7;23512;296;175;9290;9761
Dar Allouch;دار علوش;Liste partisane;Ennahdha;حزب حركة النھضة;203;0,082553884;1;3759;83;20;2459;2562
Dkhilet Toujene;دخيلة توجان;Liste partisane;Ennahdha;حزب حركة النھضة;1301;0,589487993;11;4691;67;45;2207;2319
Degach;دقاش;Liste partisane;Ennahdha;حزب حركة النھضة;839;0,201876805;4;12823;157;88;4156;4401
Douar Hicher;دوار هيشر;Liste partisane;Ennahdha;حزب حركة النھضة;2736;0,400527009;12;31394;644;172;6831;7469
Douz;دوز;Liste partisane;Ennahdha;حزب حركة النھضة;2067;0,284749966;7;22819;226;132;7259;7617
Radès;رادس;Liste partisane;Ennahdha;حزب حركة النھضة;2622;0,27244389;8;29049;287;191;9624;10102
Ras Jebel;رأس الجبل;Liste partisane;Ennahdha;حزب حركة النھضة;1469;0,298213561;7;15724;232;107;4926;5265
Rejim Mâatoug;رجيم معتوق;Liste partisane;Ennahdha;حزب حركة النھضة;356;0,299159664;4;1958;26;25;1190;1241
Rahal;رحال;Liste partisane;Ennahdha;حزب حركة النھضة;221;0,100408905;2;4571;56;63;2201;2320
Rafraf;رفراف;Liste partisane;Ennahdha;حزب حركة النھضة;1394;0,599569892;11;6267;96;46;2325;2467
Rakada;رقادة;Liste partisane;Ennahdha;حزب حركة النھضة;843;0,2962052;5;8489;153;60;2846;3059
Remada;رمادة;Liste partisane;Ennahdha;حزب حركة النھضة;580;0,462519936;8;4292;63;27;1254;1344
Raoued;روّاد;Liste partisane;Ennahdha;حزب حركة النھضة;4377;0,352528995;13;43079;305;258;12416;12979
Zalba;زالبة;Liste partisane;Ennahdha;حزب حركة النھضة;333;0,320500481;6;3937;95;26;1039;1160
Sanouche;زانوش;Liste partisane;Ennahdha;حزب حركة النھضة;650;0,190783681;3;7039;201;34;3407;3642
Zaouiet Jdidi;زاوية الجديدي;Liste partisane;Ennahdha;حزب حركة النھضة;203;0,071203087;1;6014;120;44;2851;3015
Zaouia Sousse;زاوية سوسة;Liste partisane;Ennahdha;حزب حركة النھضة;1063;0,323592085;6;8517;217;57;3285;3559
Zaouiet Kontoch;زاوية قنطش;Liste partisane;Ennahdha;حزب حركة النھضة;323;0,184045584;2;3486;38;22;1755;1815
Zeramdine;زرمدين;Liste partisane;Ennahdha;حزب حركة النھضة;980;0,274202574;5;7449;121;48;3574;3743
Zaghouan;زغوان;Liste partisane;Ennahdha;حزب حركة النھضة;1068;0,147820069;3;20161;297;183;7225;7705
Zahret Medien;زهرة مدين;Liste partisane;Ennahdha;حزب حركة النھضة;623;0,211473184;4;9975;258;64;2946;3268
Sakiet Eddaeir;ساقية الداير;Liste partisane;Ennahdha;حزب حركة النھضة;4433;0,484692762;12;23195;225;147;9146;9518
Sakiet Ezzit;ساقية الزيت;Liste partisane;Ennahdha;حزب حركة النھضة;4818;0,358428805;11;32535;220;193;13442;13855
Sakiet Sidi Youssef;ساقية سيدي يوسف;Liste partisane;Ennahdha;حزب حركة النھضة;968;0,407922461;7;7995;240;82;2373;2695
Cebalet Ouled Asker;سبالة أولاد عسكر;Liste partisane;Ennahdha;حزب حركة النھضة;1309;0,300367141;5;13619;207;69;4358;4634
Sbiba;سبيبة;Liste partisane;Ennahdha;حزب حركة النھضة;1252;0,198698619;5;15188;167;122;6301;6590
Sbeitla;سبيطلة;Liste partisane;Ennahdha;حزب حركة النھضة;1232;0,169254018;4;18341;351;151;7279;7781
Sejnane;سجنان;Liste partisane;Ennahdha;حزب حركة النھضة;1103;0,277275013;5;10470;278;85;3978;4341
Essaida;سعيدة;Liste partisane;Ennahdha;حزب حركة النھضة;965;0,20891968;4;11266;157;96;4619;4872
Soukra;سكرة;Liste partisane;Ennahdha;حزب حركة النھضة;3967;0,281467291;10;51175;387;457;14094;14938
Siliana;سليانة;Liste partisane;Ennahdha;حزب حركة النھضة;1063;0,162017985;4;22943;306;130;6561;6997
Soliman;سليمان;Liste partisane;Ennahdha;حزب حركة النھضة;2202;0,24344942;6;18888;272;136;9045;9453
Sousse;سوسة;Liste partisane;Ennahdha;حزب حركة النھضة;6473;0,215680395;8;102744;921;561;30012;31494
Souk El Ahed;سوق الأحد;Liste partisane;Ennahdha;حزب حركة النھضة;1042;0,296443812;5;12666;158;93;3515;3766
Souk Jedid;سوق الجديد;Liste partisane;Ennahdha;حزب حركة النھضة;782;0,151609151;3;13361;277;118;5158;5553
Souk Essebt;سوق السبت;Liste partisane;Ennahdha;حزب حركة النھضة;539;0,353211009;6;5202;98;39;1526;1663
Sidi Smail;سيدي إسماعيل;Liste partisane;Ennahdha;حزب حركة النھضة;246;0,181015453;2;3730;122;19;1359;1500
Sidi Jadidi;سيدي الجديدي;Liste partisane;Ennahdha;حزب حركة النھضة;399;0,210443038;4;5483;86;54;1896;2036
Sidi El Heni;سيدي الهاني;Liste partisane;Ennahdha;حزب حركة النھضة;929;0,431090487;8;5701;152;80;2155;2387
Sidi Bennour;سيدي بنور;Liste partisane;Ennahdha;حزب حركة النھضة;57;0,04973822;1;2012;23;21;1146;1190
Sidi Boubaker;سيدي بوبكر;Liste partisane;Ennahdha;حزب حركة النھضة;270;0,159857904;2;2587;69;21;1689;1779
Sidi Bouzid;سيدي بوزيد;Liste partisane;Ennahdha;حزب حركة النھضة;2712;0,271553019;9;41689;295;132;9987;10414
Sidi Bou Said;سيدي بوسعيد;Liste partisane;Ennahdha;حزب حركة النھضة;261;0,095674487;1;5336;64;42;2728;2834
Sidi Bouali;سيدي بوعلي;Liste partisane;Ennahdha;حزب حركة النھضة;748;0,162573354;3;9478;159;72;4601;4832
Sidi Thabet;سيدي ثابت;Liste partisane;Ennahdha;حزب حركة النھضة;1241;0,333691853;6;10100;147;60;3719;3926
Sidi Hassine;سيدي حسين;Liste partisane;Ennahdha;حزب حركة النھضة;3723;0,438877756;16;38119;392;296;8484;9172
Sidi Zid;سيدي زيد - أولاد مولاهم;Liste partisane;Ennahdha;حزب حركة النھضة;1081;0,252865497;5;8200;148;81;4275;4504
Sidi Ameur;سيدي عامر- مسجد عيسى;Liste partisane;Ennahdha;حزب حركة النھضة;351;0,13851618;2;4440;49;34;2534;2617
Sidi Alouane;سيدي علوان;Liste partisane;Ennahdha;حزب حركة النھضة;1463;0,602057613;14;10678;178;117;2430;2725
Sidi Ali Ben Aoun;سيدي علي بن عون;Liste partisane;Ennahdha;حزب حركة النھضة;700;0,303292894;6;8821;125;40;2308;2473
Sidi Aich;سيدي عيش;Liste partisane;Ennahdha;حزب حركة النھضة;472;0,142641281;3;5897;131;34;3309;3474
Sidi Makhlouf;سيدي مخلوف;Liste partisane;Ennahdha;حزب حركة النھضة;1388;0,426420891;10;12959;149;58;3255;3462
Sidi Morched;سيدي مرشد;Liste partisane;Ennahdha;حزب حركة النھضة;909;0,437650457;8;7352;161;50;2077;2288
Sisseb Edheriaat;سيسب الدريعات;Liste partisane;Ennahdha;حزب حركة النھضة;1401;0,414007092;10;9702;141;64;3384;3589
Chorbane;شربان;Liste partisane;Ennahdha;حزب حركة النھضة;1641;0,384129213;9;11395;296;110;4272;4678
Chott Mariem;شط مريم;Liste partisane;Ennahdha;حزب حركة النھضة;343;0,222006472;3;3376;70;41;1545;1656
Chenini Nahal;شنني - نحال;Liste partisane;Ennahdha;حزب حركة النھضة;1257;0,458591755;8;9987;102;65;2741;2908
Chaouachi;شواشي;Liste partisane;Ennahdha;حزب حركة النھضة;753;0,37020649;7;5833;197;51;2034;2282
Chihia;شيحية;Liste partisane;Ennahdha;حزب حركة النھضة;2955;0,38287121;9;20091;184;115;7718;8017
Sfax;صفاقس;Liste partisane;Ennahdha;حزب حركة النھضة;13960;0,307177749;14;148647;1007;784;45446;47237
Saouaf;صواف;Liste partisane;Ennahdha;حزب حركة النھضة;457;0,164152299;3;7109;228;79;2784;3091
