mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;porcentage_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Meknassy;المكناسي;Liste partisane;AL IRADA;حراك تونس الارادة;152;0,0304;1;14929;217;78;5000;5295
Monastir;المنستير;Liste partisane;AL IRADA;حراك تونس الارادة;318;0,018216188;0;46430;384;209;17457;18050
El Mansoura;المنصورة;Liste partisane;AL IRADA;حراك تونس الارادة;272;0,215019763;3;4392;59;21;1265;1345
Moulares;أم العرائس;Liste partisane;AL IRADA;حراك تونس الارادة;617;0,0913668;2;16004;256;102;6753;7111
Baten Elghezel;باطن الغزال;Liste partisane;AL IRADA;حراك تونس الارادة;135;0,054523425;1;7016;127;63;2476;2666
Ben Guerdane;بن قردان;Liste partisane;AL IRADA;حراك تونس الارادة;594;0,048331977;2;32112;311;152;12290;12753
Beni Khedech;بني خداش;Liste partisane;AL IRADA;حراك تونس الارادة;589;0,132478632;3;14709;186;97;4446;4729
Bouchemma;بوشمة;Liste partisane;AL IRADA;حراك تونس الارادة;452;0,195417207;4;6133;80;44;2313;2437
Bir El Hafey;بئر الحفي;Liste partisane;AL IRADA;حراك تونس الارادة;75;0,016976007;0;15326;147;64;4418;4629
Tataouine;تطاوين;Liste partisane;AL IRADA;حراك تونس الارادة;825;0,09375;3;37780;211;153;8800;9164
Tataouine Sud;تطاوين الجنوبية;Liste partisane;AL IRADA;حراك تونس الارادة;143;0,112954186;1;3997;52;18;1266;1336
Tozeur;توزر;Liste partisane;AL IRADA;حراك تونس الارادة;254;0,030048503;1;27942;279;167;8453;8899
Tunis;تونس;Liste partisane;AL IRADA;حراك تونس الارادة;1615;0,020296849;0;328134;2831;2058;79569;84458
Jilma;جلمة;Liste partisane;AL IRADA;حراك تونس الارادة;154;0,030237581;1;13383;204;111;5093;5408
Houmt Souk;حومة السوق;Liste partisane;AL IRADA;حراك تونس الارادة;773;0,060665516;2;33306;260;166;12742;13168
Khenis;خنيس;Liste partisane;AL IRADA;حراك تونس الارادة;162;0,066529774;1;5642;60;37;2435;2532
Douz;دوز;Liste partisane;AL IRADA;حراك تونس الارادة;1445;0,199063232;5;22819;226;132;7259;7617
Ras Jebel;رأس الجبل;Liste partisane;AL IRADA;حراك تونس الارادة;829;0,168290702;4;15724;232;107;4926;5265
Zeramdine;زرمدين;Liste partisane;AL IRADA;حراك تونس الارادة;485;0,135702294;2;7449;121;48;3574;3743
Sakiet Eddaeir;ساقية الداير;Liste partisane;AL IRADA;حراك تونس الارادة;509;0,055652744;1;23195;225;147;9146;9518
Sakiet Ezzit;ساقية الزيت;Liste partisane;AL IRADA;حراك تونس الارادة;608;0,045231364;1;32535;220;193;13442;13855
Sidi Bouzid;سيدي بوزيد;Liste partisane;AL IRADA;حراك تونس الارادة;198;0,019825774;0;41689;295;132;9987;10414
Sidi Ali Ben Aoun;سيدي علي بن عون;Liste partisane;AL IRADA;حراك تونس الارادة;248;0,10745234;2;8821;125;40;2308;2473
Sfax;صفاقس;Liste partisane;AL IRADA;حراك تونس الارادة;957;0,021057959;0;148647;1007;784;45446;47237
Sayada;صيادة;Liste partisane;AL IRADA;حراك تونس الارادة;342;0,092909535;2;7951;109;57;3681;3847
Ain Essobh Nadhour;عين الصبح - الناظور;Liste partisane;AL IRADA;حراك تونس الارادة;208;0,071062521;1;8679;211;107;2927;3245
