mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Ariana;أريانة;Liste partisane;Beni Watani;بني وطني;1091;1;76783;456;335;29372;30163
Beja;باجة;Liste partisane;Beni Watani;بني وطني;263;0;41646;586;314;10489;11389
Bir El Hafey;بئر الحفي;Liste partisane;Parti Socialiste;الحزب الاشتراكي;217;1;15326;147;64;4418;4629
Bizerte;بنزرت;Liste partisane;Beni Watani;بني وطني;791;2;80820;950;445;18963;20358
Carthage;قرطاج;Liste partisane;Ajyal;الاجیال;859;3;15743;171;131;5375;5677
Charaê - Machrek Echems;الشرائع - مشرق الشمس;Liste partisane;Parti Socialiste;الحزب الاشتراكي;151;1;11743;224;95;4344;4663
Dahmani;الدهماني;Liste partisane;Parti De L'Avenir;حزب المستقبل;214;1;11900;336;124;4138;4598
El Alia;العالية;Liste partisane;Union Populaire Républicaine;الإتحاد الشعبي الجمھوري;171;1;17717;247;118;3816;4181
El Fahs;الفحص;Liste partisane;Union Populaire Républicaine;الإتحاد الشعبي الجمھوري;54;0;15911;232;119;5106;5457
El Hchachna;الحشاشنة;Liste partisane;Ajyal;الاجیال;286;3;6922;147;68;2169;2384
El Krib;الكريب;Liste partisane;Parti Socialiste;الحزب الاشتراكي;99;0;9651;239;96;4722;5057
El Mida;الميدة;Liste partisane;L'Initiative;المبادرة;612;3;12970;209;92;4670;4971
El Mourouj;المروج;Liste partisane;Union Populaire Républicaine;الإتحاد الشعبي الجمھوري;211;0;50600;325;195;14620;15140
Essouassi;السواسي;Liste partisane;L'Initiative;المبادرة;197;1;11967;193;113;5935;6241
Ezzahra;الزهراء;Liste partisane;Parti Socialiste;الحزب الاشتراكي;134;0;20136;259;136;7845;8240
Fouchana;فوشانة;Liste partisane;L'Initiative;المبادرة;1168;5;20443;297;142;6869;7308
Hammam Sousse;حمام سوسة;Liste partisane;L'Initiative;المبادرة;2536;6;26781;294;179;10030;10503
Ksibet Thrayet;قصيبة - الثريات;Liste partisane;Beni Watani;بني وطني;337;2;6237;123;42;3048;3213
La Goulette;حلق الوادي;Liste partisane;Union Populaire Républicaine;الإتحاد الشعبي الجمھوري;529;2;23448;210;172;7338;7720
Le Bardo;باردو;Liste partisane;Beni Watani;بني وطني;1105;2;44901;329;209;13084;13622
Le Kef;الكاف;Liste partisane;Parti Socialiste;الحزب الاشتراكي;468;1;35526;456;192;9952;10600
Menzel Bourguiba;منزل بورقيبة;Liste partisane;Beni Watani;بني وطني;357;1;29721;401;174;7645;8220
Menzel Bouzaiane;منزل بوزيان;Liste partisane;Parti Socialiste;الحزب الاشتراكي;305;1;16625;236;114;6880;7230
Mohamedia;المحمدية;Liste partisane;L'Initiative;المبادرة;914;4;26031;383;208;7425;8016
Naâssen;نعسان;Liste partisane;L'Initiative;المبادرة;320;3;11803;156;69;3017;3242
Rahal;رحال;Liste partisane;Parti Socialiste;الحزب الاشتراكي;454;4;4571;56;63;2201;2320
Sbeitla;سبيطلة;Liste partisane;Parti Socialiste;الحزب الاشتراكي;449;2;18341;351;151;7279;7781
Sfax;صفاقس;Liste partisane;Beni Watani;بني وطني;3549;4;148647;1007;784;45446;47237
Sidi Bouzid;سيدي بوزيد;Liste partisane;Parti Socialiste;الحزب الاشتراكي;356;1;41689;295;132;9987;10414
Sned;السند;Liste partisane;Parti Socialiste;الحزب الاشتراكي;137;1;10501;135;82;4450;4667
Soliman;سليمان;Liste partisane;Parti Socialiste;الحزب الاشتراكي;109;0;18888;272;136;9045;9453
Souk Jedid;سوق الجديد;Liste partisane;L'Initiative;المبادرة;658;2;13361;277;118;5158;5553
Sousse;سوسة;Liste partisane;Beni Watani;بني وطني;1488;2;102744;921;561;30012;31494
Tazaghrane;تزغران - زاوية المقايز;Liste partisane;Parti Socialiste;الحزب الاشتراكي;497;2;8277;196;101;3791;4088
Tunis;تونس;Liste partisane;Union Populaire Républicaine;الإتحاد الشعبي الجمھوري;1041;0;328134;2831;2058;79569;84458
Zahret Medien;زهرة مدين;Liste partisane;Beni Watani;بني وطني;116;1;9975;258;64;2946;3268
Zaouia Sousse;زاوية سوسة;Liste partisane;Union Populaire Républicaine;الإتحاد الشعبي الجمھوري;746;4;8517;217;57;3285;3559
