mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Sidi Bouali;سيدي بوعلي;Liste partisane;Nidaa Tounes;حركة نداء تونس;339;1;9478;159;72;4601;4832
Sidi Thabet;سيدي ثابت;Liste partisane;Nidaa Tounes;حركة نداء تونس;884;4;10100;147;60;3719;3926
Sidi Hassine;سيدي حسين;Liste partisane;Nidaa Tounes;حركة نداء تونس;1899;8;38119;392;296;8484;9172
Sidi Zid;سيدي زيد - أولاد مولاهم;Liste partisane;Nidaa Tounes;حركة نداء تونس;1323;6;8200;148;81;4275;4504
Sidi Ameur;سيدي عامر- مسجد عيسى;Liste partisane;Nidaa Tounes;حركة نداء تونس;647;3;4440;49;34;2534;2617
Sidi Alouane;سيدي علوان;Liste partisane;Nidaa Tounes;حركة نداء تونس;967;10;10678;178;117;2430;2725
Sidi Ali Ben Aoun;سيدي علي بن عون;Liste partisane;Nidaa Tounes;حركة نداء تونس;422;3;8821;125;40;2308;2473
Sidi Aich;سيدي عيش;Liste partisane;Nidaa Tounes;حركة نداء تونس;446;2;5897;131;34;3309;3474
Sidi Makhlouf;سيدي مخلوف;Liste partisane;Nidaa Tounes;حركة نداء تونس;593;4;12959;149;58;3255;3462
Sidi Morched;سيدي مرشد;Liste partisane;Nidaa Tounes;حركة نداء تونس;705;6;7352;161;50;2077;2288
Sisseb Edheriaat;سيسب الدريعات;Liste partisane;Nidaa Tounes;حركة نداء تونس;916;7;9702;141;64;3384;3589
Chorbane;شربان;Liste partisane;Nidaa Tounes;حركة نداء تونس;1424;8;11395;296;110;4272;4678
Chott Mariem;شط مريم;Liste partisane;Nidaa Tounes;حركة نداء تونس;297;2;3376;70;41;1545;1656
Chaouachi;شواشي;Liste partisane;Nidaa Tounes;حركة نداء تونس;506;4;5833;197;51;2034;2282
Chihia;شيحية;Liste partisane;Nidaa Tounes;حركة نداء تونس;1104;3;20091;184;115;7718;8017
Sfax;صفاقس;Liste partisane;Nidaa Tounes;حركة نداء تونس;7424;7;148647;1007;784;45446;47237
Saouaf;صواف;Liste partisane;Nidaa Tounes;حركة نداء تونس;678;4;7109;228;79;2784;3091
Sayada;صيادة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1890;9;7951;109;57;3681;3847
Tebourba;طبربة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1212;5;21275;365;142;5521;6028
Tabarka;طبرقة;Liste partisane;Nidaa Tounes;حركة نداء تونس;684;3;17075;312;74;4792;5178
Teboulba;طبلبة;Liste partisane;Nidaa Tounes;حركة نداء تونس;971;3;17748;170;79;7636;7885
Teboulbou;طبلبو;Liste partisane;Nidaa Tounes;حركة نداء تونس;327;2;11479;136;70;4445;4651
Touza;طوزة;Liste partisane;Nidaa Tounes;حركة نداء تونس;252;1;4059;27;9;2009;2045
Tina;طينة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1831;8;17393;216;111;5317;5644
Abida;عبيدة;Liste partisane;Nidaa Tounes;حركة نداء تونس;454;2;6392;175;55;3275;3505
Agareb;عقارب;Liste partisane;Nidaa Tounes;حركة نداء تونس;2899;9;20009;298;152;7444;7894
Amiret Touazra;عميرة التوازرة;Liste partisane;Nidaa Tounes;حركة نداء تونس;351;3;3144;39;57;1692;1788
Amiret El Hojjaj;عميرة الحجاج;Liste partisane;Nidaa Tounes;حركة نداء تونس;790;7;3854;65;33;1299;1397
Amiret El Fehoul;عميرة الفحول;Liste partisane;Nidaa Tounes;حركة نداء تونس;275;2;2742;55;31;1352;1438
Ousja;عوسجة;Liste partisane;Nidaa Tounes;حركة نداء تونس;321;2;5035;88;58;2415;2561
El Ain El Beidha;عين البيضاء;Liste partisane;Nidaa Tounes;حركة نداء تونس;1378;9;6984;166;67;2626;2859
Ain El Khemaissia;عين الخمايسية;Liste partisane;Nidaa Tounes;حركة نداء تونس;1352;9;6610;115;67;2586;2768
Ain Essobh Nadhour;عين الصبح - الناظور;Liste partisane;Nidaa Tounes;حركة نداء تونس;166;1;8679;211;107;2927;3245
Ain Jelloula;عين جلولة;Liste partisane;Nidaa Tounes;حركة نداء تونس;139;1;3894;89;38;1462;1589
Ain Draham;عين دراهم;Liste partisane;Nidaa Tounes;حركة نداء تونس;1221;7;13439;284;110;3140;3534
Ghardimaou;غار الدماء;Liste partisane;Nidaa Tounes;حركة نداء تونس;1471;8;20171;289;174;5869;6332
Ghar El Melh;غار الملح;Liste partisane;Nidaa Tounes;حركة نداء تونس;306;2;4539;57;57;1655;1769
Ghezala;غزالة;Liste partisane;Nidaa Tounes;حركة نداء تونس;637;8;10562;237;64;1959;2260
Ghomrassen;غمراسن;Liste partisane;Nidaa Tounes;حركة نداء تونس;213;2;7818;71;39;2166;2276
Ghenada;غنادة;Liste partisane;Nidaa Tounes;حركة نداء تونس;733;5;2720;72;28;1857;1957
Ghannouch;غنوش;Liste partisane;Nidaa Tounes;حركة نداء تونس;500;3;12675;124;60;3468;3652
Fernana;فرنانة;Liste partisane;Nidaa Tounes;حركة نداء تونس;885;8;12438;305;81;2848;3234
Feriana;فريانة;Liste partisane;Nidaa Tounes;حركة نداء تونس;651;3;16744;246;105;5405;5756
Fondouk Jedidi;فندق الجديد - سلتان;Liste partisane;Nidaa Tounes;حركة نداء تونس;1204;5;11054;210;66;4565;4841
Foussana;فوسانة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1548;5;16494;329;101;6872;7302
Fouchana;فوشانة;Liste partisane;Nidaa Tounes;حركة نداء تونس;971;5;20443;297;142;6869;7308
Gabes;قابس;Liste partisane;Nidaa Tounes;حركة نداء تونس;2396;5;51010;261;251;14461;14973
Goubellat;قبلاط;Liste partisane;Nidaa Tounes;حركة نداء تونس;432;6;5579;67;72;1293;1432
Kebili;قبلي;Liste partisane;Nidaa Tounes;حركة نداء تونس;1034;4;23887;231;175;6773;7179
Korba;قربة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1056;3;24931;303;163;9215;9681
Korbous;قربص;Liste partisane;Nidaa Tounes;حركة نداء تونس;168;2;1966;39;19;1179;1237
Carthage;قرطاج;Liste partisane;Nidaa Tounes;حركة نداء تونس;1185;4;15743;171;131;5375;5677
Kerkennah;قرقنة;Liste partisane;Nidaa Tounes;حركة نداء تونس;539;3;9202;73;55;3510;3638
Grombalia;قرمبالية;Liste partisane;Nidaa Tounes;حركة نداء تونس;2408;8;23508;275;174;7787;8236
Gremda;قرمدة;Liste partisane;Nidaa Tounes;حركة نداء تونس;866;3;17166;116;92;8116;8324
Ksar Hellal;قصر هلال;Liste partisane;Nidaa Tounes;حركة نداء تونس;1922;4;26671;289;136;11147;11572
Ksour Essaf;قصور الساف;Liste partisane;Nidaa Tounes;حركة نداء تونس;672;3;15764;91;93;5848;6032
Ksibet Thrayet;قصيبة - الثريات;Liste partisane;Nidaa Tounes;حركة نداء تونس;315;2;6237;123;42;3048;3213
Ksibet El Mediouni;قصيبة المديوني;Liste partisane;Nidaa Tounes;حركة نداء تونس;775;4;7264;86;58;3383;3527
Gaafour;قعفور;Liste partisane;Nidaa Tounes;حركة نداء تونس;609;4;8989;205;74;2927;3206
Gafsa;قفصة;Liste partisane;Nidaa Tounes;حركة نداء تونس;3203;9;54251;469;185;14805;15459
Kalâat El Andalous;قلعة الأندلس;Liste partisane;Nidaa Tounes;حركة نداء تونس;1875;9;11075;143;65;5042;5250
Kalaat Senan;قلعة سنان;Liste partisane;Nidaa Tounes;حركة نداء تونس;656;4;7435;220;58;2747;3025
Kelibia;قليبية;Liste partisane;Nidaa Tounes;حركة نداء تونس;1379;5;24622;231;120;9544;9895
Ketana;كتانة;Liste partisane;Nidaa Tounes;حركة نداء تونس;497;5;7307;75;56;1929;2060
Kerker;كركر;Liste partisane;Nidaa Tounes;حركة نداء تونس;560;3;7198;106;54;3414;3574
Kesra;كسرى;Liste partisane;Nidaa Tounes;حركة نداء تونس;280;2;7794;207;72;2423;2702
Kondar;كندار;Liste partisane;Nidaa Tounes;حركة نداء تونس;1143;6;5973;237;67;3739;4043
Lala;لالة;Liste partisane;Nidaa Tounes;حركة نداء تونس;455;4;6793;81;44;2298;2423
Lamta;لمطة;Liste partisane;Nidaa Tounes;حركة نداء تونس;589;4;3190;44;16;1769;1829
Metline;ماتلين;Liste partisane;Nidaa Tounes;حركة نداء تونس;361;3;6634;86;62;1916;2064
Majel Bel Abbes;ماجل بلعباس;Liste partisane;Nidaa Tounes;حركة نداء تونس;1557;6;11045;197;65;4835;5097
Mareth;مارث;Liste partisane;Nidaa Tounes;حركة نداء تونس;628;3;14699;185;106;4650;4941
Mateur;ماطر;Liste partisane;Nidaa Tounes;حركة نداء تونس;1954;10;19888;325;149;4844;5318
Medjez El Bab;مجاز الباب;Liste partisane;Nidaa Tounes;حركة نداء تونس;1624;7;18118;227;97;6024;6348
Mednine;مدنين;Liste partisane;Nidaa Tounes;حركة نداء تونس;1418;4;47023;382;238;15089;15709
Mornag;مرناق;Liste partisane;Nidaa Tounes;حركة نداء تونس;1371;5;19795;311;154;6232;6697
Mezzouna;مزونة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1851;5;12420;185;88;7206;7479
Msaken;مساكن;Liste partisane;Nidaa Tounes;حركة نداء تونس;1791;5;34825;336;183;11664;12183
Matmata;مطماطة;Liste partisane;Nidaa Tounes;حركة نداء تونس;60;1;2561;46;32;943;1021
Matmata Djedaïda;مطماطة الجديدة;Liste partisane;Nidaa Tounes;حركة نداء تونس;381;3;7106;146;58;2253;2457
Megrine;مقرين;Liste partisane;Nidaa Tounes;حركة نداء تونس;1062;4;17014;179;132;6007;6318
Makthar;مكثر;Liste partisane;Nidaa Tounes;حركة نداء تونس;979;6;12892;195;132;4271;4598
Melloulech;ملولش;Liste partisane;Nidaa Tounes;حركة نداء تونس;838;6;9656;137;54;2463;2654
Menzel El Habib;منزل الحبيب;Liste partisane;Nidaa Tounes;حركة نداء تونس;512;3;6136;120;39;2676;2835
Menzel Mhiri;منزل المهيري;Liste partisane;Nidaa Tounes;حركة نداء تونس;331;2;6425;160;44;2751;2955
Menzel Bourguiba;منزل بورقيبة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1464;6;29721;401;174;7645;8220
Menzel Bouzelfa;منزل بوزلفة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1707;6;21036;244;154;6337;6735
Menzel Bouzaiane;منزل بوزيان;Liste partisane;Nidaa Tounes;حركة نداء تونس;670;2;16625;236;114;6880;7230
Menzel Temime;منزل تميم;Liste partisane;Nidaa Tounes;حركة نداء تونس;984;4;25864;239;172;7687;8098
Menzel Jemil;منزل جميل;Liste partisane;Nidaa Tounes;حركة نداء تونس;457;3;13072;190;77;4587;4854
Menzel Hor;منزل حر;Liste partisane;Nidaa Tounes;حركة نداء تونس;781;6;3827;73;33;1702;1808
Menzel Hayet;منزل حياة;Liste partisane;Nidaa Tounes;حركة نداء تونس;329;2;5918;97;51;3558;3706
Menzel Salem;منزل سالم;Liste partisane;Nidaa Tounes;حركة نداء تونس;187;4;905;45;7;506;558
Menzel Chaker;منزل شاكر;Liste partisane;Nidaa Tounes;حركة نداء تونس;574;4;8815;103;43;2477;2623
Menzel Abderrahmane;منزل عبد الرحمان;Liste partisane;Nidaa Tounes;حركة نداء تونس;503;3;8139;171;68;3289;3528
Menzel Farsi;منزل فارسي;Liste partisane;Nidaa Tounes;حركة نداء تونس;49;1;1936;31;25;1101;1157
Menzel Kamel;منزل كامل;Liste partisane;Nidaa Tounes;حركة نداء تونس;846;6;3601;48;33;1739;1820
Menzel Ennour;منزل نور;Liste partisane;Nidaa Tounes;حركة نداء تونس;1069;6;5821;57;46;3091;3194
Manouba;منوبة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1043;4;22044;156;136;7087;7379
Midoun;ميدون;Liste partisane;Nidaa Tounes;حركة نداء تونس;586;2;24777;178;113;8544;8835
Nabeul;نابل;Liste partisane;Nidaa Tounes;حركة نداء تونس;3845;7;41924;494;327;16466;17287
Nebeur;نبر;Liste partisane;Nidaa Tounes;حركة نداء تونس;677;4;6889;152;82;2739;2973
Nasrallah;نصر الله;Liste partisane;Nidaa Tounes;حركة نداء تونس;318;2;10945;269;73;3363;3705
Naâssen;نعسان;Liste partisane;Nidaa Tounes;حركة نداء تونس;537;4;11803;156;69;3017;3242
Nefza;نفزة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1006;5;15663;428;153;5816;6397
Nefta;نفطة;Liste partisane;Nidaa Tounes;حركة نداء تونس;576;2;15608;143;78;5199;5420
Hebira;هبيرة;Liste partisane;Nidaa Tounes;حركة نداء تونس;609;6;5037;195;64;1924;2183
Hergla;هرقلة;Liste partisane;Nidaa Tounes;حركة نداء تونس;525;3;4431;129;46;2302;2477
Oued Ellil;وادي الليل;Liste partisane;Nidaa Tounes;حركة نداء تونس;2148;8;30108;424;163;8404;8991
Oued Meliz;وادي مليز;Liste partisane;Nidaa Tounes;حركة نداء تونس;1705;10;8721;176;98;3198;3472
Oudref;وذرف;Liste partisane;Nidaa Tounes;حركة نداء تونس;717;3;8083;79;60;3753;3892
Ouechtata;وشتاتة - الجميلة;Liste partisane;Nidaa Tounes;حركة نداء تونس;758;4;11702;328;70;3789;4178
