mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Touiref;الطويرف;Liste partisane;Nidaa Tounes;حركة نداء تونس;658;7;3001;88;38;1196;1322
El Alia;العالية;Liste partisane;Nidaa Tounes;حركة نداء تونس;632;4;17717;247;118;3816;4181
El Amra;العامرة;Liste partisane;Nidaa Tounes;حركة نداء تونس;837;5;13596;166;78;4159;4403
El Aroussa;العروسة;Liste partisane;Nidaa Tounes;حركة نداء تونس;254;2;4777;76;32;1980;2088
El Achech;العشاش بوجربوع العوادنة ماجل الدرج;Liste partisane;Nidaa Tounes;حركة نداء تونس;651;4;8670;154;57;3339;3550
El Alaa;العلا;Liste partisane;Nidaa Tounes;حركة نداء تونس;970;6;12298;387;97;4161;4645
El Amaiem;العمايم;Liste partisane;Nidaa Tounes;حركة نداء تونس;261;2;6337;120;38;2469;2627
El Aouabed El Khazanet;العوابد - الخزانات;Liste partisane;Nidaa Tounes;حركة نداء تونس;576;3;12781;131;91;4545;4767
El Ain;العين;Liste partisane;Nidaa Tounes;حركة نداء تونس;2194;5;28468;247;196;10577;11020
El Ayoun;العيون;Liste partisane;Nidaa Tounes;حركة نداء تونس;810;3;8435;207;63;4351;4621
Ghraiba;الغريبة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1069;10;7670;90;46;1857;1993
El Fahs;الفحص;Liste partisane;Nidaa Tounes;حركة نداء تونس;1078;5;15911;232;119;5106;5457
El Faouar;الفوار;Liste partisane;Nidaa Tounes;حركة نداء تونس;152;0;9566;215;75;5168;5458
Grimet Hicher;القريمات - هيشر;Liste partisane;Nidaa Tounes;حركة نداء تونس;509;2;6898;143;55;3738;3936
El Ksar;القصر;Liste partisane;Nidaa Tounes;حركة نداء تونس;754;4;12791;192;70;4600;4862
Kasserine;القصرين;Liste partisane;Nidaa Tounes;حركة نداء تونس;1498;6;19675;204;83;5977;6264
El Ksour;القصور;Liste partisane;Nidaa Tounes;حركة نداء تونس;549;4;7777;165;75;2561;2801
El Guetar;القطار;Liste partisane;Nidaa Tounes;حركة نداء تونس;406;2;10813;200;60;4184;4444
Kalaat Khasbat;القلعة الخصباء;Liste partisane;Nidaa Tounes;حركة نداء تونس;236;1;3766;136;43;2049;2228
Kalaa Sghira;القلعة الصغرى;Liste partisane;Nidaa Tounes;حركة نداء تونس;999;5;16450;178;125;5499;5802
Kalaa Kebira;القلعة الكبرى;Liste partisane;Nidaa Tounes;حركة نداء تونس;937;3;22671;276;123;8257;8656
El Kalaa El Maaden Forgassen;القلعة - المعدن - فرقصان;Liste partisane;Nidaa Tounes;حركة نداء تونس;192;2;4183;60;40;1491;1591
