mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
El Alia;العالية;Liste partisane;Ennahdha;حزب حركة النھضة;2423;15;17717;247;118;3816;4181
El Amra;العامرة;Liste partisane;Ennahdha;حزب حركة النھضة;2418;14;13596;166;78;4159;4403
El Aroussa;العروسة;Liste partisane;Ennahdha;حزب حركة النھضة;547;3;4777;76;32;1980;2088
El Achech;العشاش بوجربوع العوادنة ماجل الدرج;Liste partisane;Ennahdha;حزب حركة النھضة;722;4;8670;154;57;3339;3550
El Alaa;العلا;Liste partisane;Ennahdha;حزب حركة النھضة;1493;9;12298;387;97;4161;4645
El Amaiem;العمايم;Liste partisane;Ennahdha;حزب حركة النھضة;409;3;6337;120;38;2469;2627
El Aouabed El Khazanet;العوابد - الخزانات;Liste partisane;Ennahdha;حزب حركة النھضة;1645;9;12781;131;91;4545;4767
El Ain;العين;Liste partisane;Ennahdha;حزب حركة النھضة;4402;10;28468;247;196;10577;11020
El Ayoun;العيون;Liste partisane;Ennahdha;حزب حركة النھضة;168;1;8435;207;63;4351;4621
Ghraiba;الغريبة;Liste partisane;Ennahdha;حزب حركة النھضة;644;6;7670;90;46;1857;1993
El Fahs;الفحص;Liste partisane;Ennahdha;حزب حركة النھضة;904;4;15911;232;119;5106;5457
El Faouar;الفوار;Liste partisane;Ennahdha;حزب حركة النھضة;1672;6;9566;215;75;5168;5458
Grimet Hicher;القريمات - هيشر;Liste partisane;Ennahdha;حزب حركة النھضة;652;3;6898;143;55;3738;3936
El Ksar;القصر;Liste partisane;Ennahdha;حزب حركة النھضة;1306;7;12791;192;70;4600;4862
Kasserine;القصرين;Liste partisane;Ennahdha;حزب حركة النھضة;1532;6;19675;204;83;5977;6264
El Ksour;القصور;Liste partisane;Ennahdha;حزب حركة النھضة;605;4;7777;165;75;2561;2801
El Guetar;القطار;Liste partisane;Ennahdha;حزب حركة النھضة;881;4;10813;200;60;4184;4444
El Golaa;القلعة;Liste partisane;Ennahdha;حزب حركة النھضة;1706;7;5005;57;41;2822;2920
Kalaat Khasbat;القلعة الخصباء;Liste partisane;Ennahdha;حزب حركة النھضة;369;2;3766;136;43;2049;2228
Kalaa Sghira;القلعة الصغرى;Liste partisane;Ennahdha;حزب حركة النھضة;1410;6;16450;178;125;5499;5802
Kalaa Kebira;القلعة الكبرى;Liste partisane;Ennahdha;حزب حركة النھضة;1856;7;22671;276;123;8257;8656
El Kalaa El Maaden Forgassen;القلعة - المعدن - فرقصان;Liste partisane;Ennahdha;حزب حركة النھضة;329;4;4183;60;40;1491;1591
Kairouan;القيروان;Liste partisane;Ennahdha;حزب حركة النھضة;7562;15;71387;636;310;18800;19746
Le Kef;الكاف;Liste partisane;Ennahdha;حزب حركة النھضة;1477;5;35526;456;192;9952;10600
Le Kram;الكرم;Liste partisane;Ennahdha;حزب حركة النھضة;2329;9;30179;346;268;7559;8173
El Krib;الكريب;Liste partisane;Ennahdha;حزب حركة النھضة;798;3;9651;239;96;4722;5057
Metlaoui;المتلوي;Liste partisane;Ennahdha;حزب حركة النھضة;1827;4;21966;260;103;9721;10084
Mahrés;المحرص;Liste partisane;Ennahdha;حزب حركة النھضة;641;3;16606;145;74;5269;5488
Mohamedia;المحمدية;Liste partisane;Ennahdha;حزب حركة النھضة;4455;18;26031;383;208;7425;8016
El Marja;المرجى;Liste partisane;Ennahdha;حزب حركة النھضة;330;5;2520;88;45;796;929
La Marsa;المرسى;Liste partisane;Ennahdha;حزب حركة النھضة;2232;4;51807;355;266;18999;19620
La Mornaguia;المرناقية;Liste partisane;Ennahdha;حزب حركة النھضة;2074;11;14449;215;93;4643;4951
El Mourouj;المروج;Liste partisane;Ennahdha;حزب حركة النھضة;4669;12;50600;325;195;14620;15140
El Messaadine;المسعدين;Liste partisane;Ennahdha;حزب حركة النھضة;1185;8;5363;48;38;2512;2598
El Masdour Menzel Harb;مصدور - منزل حرب;Liste partisane;Ennahdha;حزب حركة النھضة;274;2;2453;55;22;1702;1779
El Metouia;المطوية;Liste partisane;Ennahdha;حزب حركة النھضة;1292;6;7459;117;40;3835;3992
Mdhila;المظيلة;Liste partisane;Ennahdha;حزب حركة النھضة;855;4;8969;176;47;4274;4497
El Maagoula;المعقولة;Liste partisane;Ennahdha;حزب حركة النھضة;696;7;6848;158;79;1890;2127
El Maamoura;المعمورة;Liste partisane;Ennahdha;حزب حركة النھضة;768;3;4687;67;42;3014;3123
Meknassy;المكناسي;Liste partisane;Ennahdha;حزب حركة النھضة;1097;4;14929;217;78;5000;5295
Moknine;المكنين;Liste partisane;Ennahdha;حزب حركة النھضة;1370;4;25874;229;99;9781;10109
Monastir;المنستير;Liste partisane;Ennahdha;حزب حركة النھضة;2416;4;46430;384;209;17457;18050
El Mansoura;المنصورة;Liste partisane;Ennahdha;حزب حركة النھضة;575;5;4392;59;21;1265;1345
Mnihla;المنيهلة;Liste partisane;Ennahdha;حزب حركة النھضة;3337;14;30959;276;214;6959;7449
Mahdia;المهدية;Liste partisane;Ennahdha;حزب حركة النھضة;1831;5;28714;287;181;10446;10914
El Mida;الميدة;Liste partisane;Ennahdha;حزب حركة النھضة;1221;6;12970;209;92;4670;4971
Ennadhour;الناظور;Liste partisane;Ennahdha;حزب حركة النھضة;1285;4;16444;360;171;7603;8134
Ennadhour Sidi Ali Belabed;الناظور - سيدي علي بلعابد;Liste partisane;Ennahdha;حزب حركة النھضة;1502;9;8968;90;56;3105;3251
Ennasr;النصر;Liste partisane;Ennahdha;حزب حركة النھضة;938;7;8129;74;53;2542;2669
Enfidha;النفيضة;Liste partisane;Ennahdha;حزب حركة النھضة;1411;5;15065;375;140;6939;7454
Ennour;النور;Liste partisane;Ennahdha;حزب حركة النھضة;1438;6;22947;282;119;5977;6378
El Haouaria;الهوارية;Liste partisane;Ennahdha;حزب حركة النھضة;964;6;13798;192;101;3894;4187
El Ouerdanine;الوردانين;Liste partisane;Ennahdha;حزب حركة النھضة;1225;5;10018;178;111;4902;5191
Oueslatia;الوسلاتية;Liste partisane;Ennahdha;حزب حركة النھضة;821;4;14209;355;107;4932;5394
Moulares;أم العرائس;Liste partisane;Ennahdha;حزب حركة النھضة;1332;4;16004;256;102;6753;7111
Utique;أوتيك;Liste partisane;Ennahdha;حزب حركة النھضة;544;3;7489;143;79;2930;3152
Ouled Chamekh;أولاد شامخ;Liste partisane;Ennahdha;حزب حركة النھضة;1094;5;9706;236;80;4710;5026
Ouled Haffouz;أولاد حفوز;Liste partisane;Ennahdha;حزب حركة النھضة;708;3;13452;176;91;4521;4788
Beja;باجة;Liste partisane;Ennahdha;حزب حركة النھضة;2815;8;41646;586;314;10489;11389
Le Bardo;باردو;Liste partisane;Ennahdha;حزب حركة النھضة;3457;8;44901;329;209;13084;13622
Baten Elghezel;باطن الغزال;Liste partisane;Ennahdha;حزب حركة النھضة;465;3;7016;127;63;2476;2666
Borj El Amri;برج العامري;Liste partisane;Ennahdha;حزب حركة النھضة;871;6;9449;180;56;2636;2872
Bargou;برقو;Liste partisane;Ennahdha;حزب حركة النھضة;413;3;6758;160;43;2971;3174
Béchri Fatnassa;بشري فطناسة;Liste partisane;Ennahdha;حزب حركة النھضة;464;2;5902;121;65;2191;2377
Bchelli;بشلي - جرسين - البليدات;Liste partisane;Ennahdha;حزب حركة النھضة;1566;9;7042;79;44;3217;3340
Belkhir;بلخير;Liste partisane;Ennahdha;حزب حركة النھضة;959;7;7800;110;46;2395;2551
Balta Bouawene;بلطة بوعوان;Liste partisane;Ennahdha;حزب حركة النھضة;963;8;12523;225;101;2745;3071
Ben Arous;بن عروس;Liste partisane;Ennahdha;حزب حركة النھضة;4191;11;46708;536;246;11879;12661
Ben Guerdane;بن قردان;Liste partisane;Ennahdha;حزب حركة النھضة;6019;15;32112;311;152;12290;12753
Benen Bodher;بنان - بوضر;Liste partisane;Ennahdha;حزب حركة النھضة;643;3;6930;85;59;3753;3897
Bembla;بنبلة - المنارة;Liste partisane;Ennahdha;حزب حركة النھضة;880;4;6930;118;52;3623;3793
Bizerte;بنزرت;Liste partisane;Ennahdha;حزب حركة النھضة;6872;16;80820;950;445;18963;20358
Bennour;الفائض بنور;Liste partisane;Ennahdha;حزب حركة النھضة;662;4;11866;149;61;2748;2958
Beni Hassen;بني حسان;Liste partisane;Ennahdha;حزب حركة النھضة;494;2;5127;101;33;2928;3062
Beni Khedech;بني خداش;Liste partisane;Ennahdha;حزب حركة النھضة;2820;15;14709;186;97;4446;4729
Beni Khalled;بني خلاد;Liste partisane;Ennahdha;حزب حركة النھضة;906;5;14529;189;77;4514;4780
Beni Khiar;بني خيار;Liste partisane;Ennahdha;حزب حركة النھضة;2014;8;13548;211;153;6273;6637
Beni M'tir;بني مطير;Liste partisane;Ennahdha;حزب حركة النھضة;377;4;2793;85;15;1142;1242
Bahra;بهرة;Liste partisane;Ennahdha;حزب حركة النھضة;266;3;2799;115;24;1059;1198
Bou Hjar;بوحجر;Liste partisane;Ennahdha;حزب حركة النھضة;278;2;3396;56;27;1896;1979
Bouhajla;بوحجلة;Liste partisane;Ennahdha;حزب حركة النھضة;1872;9;23521;306;81;6452;6839
Bourouis;بورويس;Liste partisane;Ennahdha;حزب حركة النھضة;596;4;6659;136;130;2823;3089
Bouzguam;بوزقام;Liste partisane;Ennahdha;حزب حركة النھضة;433;2;7039;130;71;3717;3918
Bou Salem;بوسالم;Liste partisane;Ennahdha;حزب حركة النھضة;1481;6;20587;375;104;6123;6602
Bouchemma;بوشمة;Liste partisane;Ennahdha;حزب حركة النھضة;825;6;6133;80;44;2313;2437
Bou Arada;بوعرادة;Liste partisane;Ennahdha;حزب حركة النھضة;942;5;9568;170;84;3143;3397
Bou Argoub;بوعرقوب;Liste partisane;Ennahdha;حزب حركة النھضة;1088;5;16170;266;99;5526;5891
Boughrara;بوغرارة;Liste partisane;Ennahdha;حزب حركة النھضة;1010;6;3567;66;32;2202;2300
Bouficha;بوفيشة;Liste partisane;Ennahdha;حزب حركة النھضة;2009;8;12531;283;109;6243;6635
Boumerdes;بومرداس;Liste partisane;Ennahdha;حزب حركة النھضة;486;2;7255;133;52;3929;4114
Bou Mhel El Bassatine;بومهل البساتين;Liste partisane;Ennahdha;حزب حركة النھضة;1801;7;18334;201;123;5891;6215
Bir Lahmar;بئر الأحمر;Liste partisane;Ennahdha;حزب حركة النھضة;438;4;3830;35;28;1477;1540
Bir El Hafey;بئر الحفي;Liste partisane;Ennahdha;حزب حركة النھضة;799;4;15326;147;64;4418;4629
Bir Ali Ben Khelifa;بئر علي بن خليفة;Liste partisane;Ennahdha;حزب حركة النھضة;1865;10;14157;151;53;4579;4783
Bir M'chergua;بئر مشارقة;Liste partisane;Ennahdha;حزب حركة النھضة;631;4;7220;91;58;2727;2876
Tajerouine;تاجروين;Liste partisane;Ennahdha;حزب حركة النھضة;1438;7;14322;345;80;4909;5334
