mun_fr;mun_ar;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Bchelli;بشلي - جرسين - البليدات;7042;79;44;3217;3340
Belkhir;بلخير;7800;110;46;2395;2551
Balta Bouawene;بلطة بوعوان;12523;225;101;2745;3071
Ben Arous;بن عروس;46708;536;246;11879;12661
Ben Guerdane;بن قردان;32112;311;152;12290;12753
Benen Bodher;بنان - بوضر;6930;85;59;3753;3897
Bembla;بنبلة - المنارة;6930;118;52;3623;3793
Bizerte;بنزرت;80820;950;445;18963;20358
Bennour;الفائض بنور;11866;149;61;2748;2958
Beni Hassen;بني حسان;5127;101;33;2928;3062
Beni Khedech;بني خداش;14709;186;97;4446;4729
Beni Khalled;بني خلاد;14529;189;77;4514;4780
Beni Khiar;بني خيار;13548;211;153;6273;6637
Beni M'tir;بني مطير;2793;85;15;1142;1242
Bahra;بهرة;2799;115;24;1059;1198
Bou Hjar;بوحجر;3396;56;27;1896;1979
Bouhajla;بوحجلة;23521;306;81;6452;6839
Bourouis;بورويس;6659;136;130;2823;3089
Bouzguam;بوزقام;7039;130;71;3717;3918
Bou Salem;بوسالم;20587;375;104;6123;6602
Bouchemma;بوشمة;6133;80;44;2313;2437
Bou Arada;بوعرادة;9568;170;84;3143;3397
Bou Argoub;بوعرقوب;16170;266;99;5526;5891
Boughrara;بوغرارة;3567;66;32;2202;2300
Bouficha;بوفيشة;12531;283;109;6243;6635
Boumerdes;بومرداس;7255;133;52;3929;4114
Bou Mhel El Bassatine;بومهل البساتين;18334;201;123;5891;6215
Bir Lahmar;بئر الأحمر;3830;35;28;1477;1540
Bir El Hafey;بئر الحفي;15326;147;64;4418;4629
Bir Ali Ben Khelifa;بئر علي بن خليفة;14157;151;53;4579;4783
Bir M'chergua;بئر مشارقة;7220;91;58;2727;2876
Tajerouine;تاجروين;14322;345;80;4909;5334
Tazarka;تازركة;5385;103;60;3009;3172
Takelsa;تاكلسة;13013;246;74;5562;5882
Thala;تالة;16363;362;102;4299;4763
Teboursouk;تبرسق;10219;276;70;3011;3357
Tazaghrane;تزغران - زاوية المقايز;8277;196;101;3791;4088
Testour;تستور;13521;220;127;4698;5045
Tataouine;تطاوين;37780;211;153;8800;9164
Tataouine Sud;تطاوين الجنوبية;3997;52;18;1266;1336
Telept;تلابت;8201;152;35;2767;2954
Talalsa;تلالسة;5672;122;47;1580;1749
Tameghza;تمغزة;4381;101;36;2239;2376
Tozeur;توزر;27942;279;167;8453;8899
Tunis;تونس;328134;2831;2058;79569;84458
Tibar;تيبار;5281;134;33;1319;1486
Tinja;تينجة;10112;213;105;3284;3602
Jebel Oust;جبل الوسط;4271;67;41;2587;2695
Djebeniana;جبنيانة;14702;224;101;4185;4510
Djedeliane;جدليان;6741;221;48;3276;3545
Zarzis;جرجيس;21168;220;105;8333;8658
Zarzis Nord;جرجيس الشمالية;15515;187;130;6170;6487
Jilma;جلمة;13383;204;111;5093;5408
Jammel;جمال;22244;194;75;8834;9103
Jemna;جمنة;3992;51;31;1788;1870
Jendouba;جندوبة;49945;579;303;10156;11038
Jehina;جهينة;3727;109;50;1605;1764
Joumine;جومين;11736;416;130;4587;5133
Hajeb El Ayoun;حاجب العيون;11965;330;101;5683;6114
Hassi El Ferid;حاسي الفريد;9162;206;75;4443;4724
Hamet Ejrid;حامة الجريد;4932;103;47;1579;1729
Hazeg El Louza;حزق - اللوزة;8203;118;82;2879;3079
Hazoua;حزوة;3450;97;23;1989;2109
Haffouz;حفوز;13717;267;126;5475;5868
La Goulette;حلق الوادي;23448;210;172;7338;7720
Hammam Lif;حمام الأنف;22538;299;110;8262;8671
Hammam Chott;حمام الشط;18086;220;97;6214;6531
Hammam El Ghezaz;حمام الغزاز;5031;69;43;2219;2331
Hammam Sousse;حمام سوسة;26781;294;179;10030;10503
Houmt Souk;حومة السوق;33306;260;166;12742;13168
Hidra;حيدرة;4973;106;43;2284;2433
Khmouda;خمودة;6186;98;31;2375;2504
Khenis;خنيس;5642;60;37;2435;2532
Dar Chaabane El Fehri;دار شعبان;23512;296;175;9290;9761
Dar Allouch;دار علوش;3759;83;20;2459;2562
Dkhilet Toujene;دخيلة توجان;4691;67;45;2207;2319
Degach;دقاش;12823;157;88;4156;4401
Douar Hicher;دوار هيشر;31394;644;172;6831;7647
Douz;دوز;22819;226;132;7259;7617
Radès;رادس;29049;287;191;9624;10102
Ras Jebel;رأس الجبل;15724;232;107;4926;5265
Rejim Mâatoug;رجيم معتوق;1958;26;25;1190;1241
Rahal;رحال;4571;56;63;2201;2320
Rafraf;رفراف;6267;96;46;2325;2467
Rakada;رقادة;8489;153;60;2846;3059
Remada;رمادة;4292;63;27;1254;1344
Raoued;روّاد;43079;305;258;12416;12979
Zalba;زالبة;3937;95;26;1039;1160
Sanouche;زانوش;7039;201;34;3407;3642
Zaouiet Jdidi;زاوية الجديدي;6014;120;44;2851;3015
Zaouia Sousse;زاوية سوسة;8517;217;57;3285;3559
Zaouiet Kontoch;زاوية قنطش;3486;38;22;1755;1815
Zeramdine;زرمدين;7449;121;48;3574;3743
Zaghouan;زغوان;20161;297;183;7225;7705
Zahret Medien;زهرة مدين;9975;258;64;2946;3268
Sakiet Eddaeir;ساقية الداير;23195;225;147;9146;9518
Sakiet Ezzit;ساقية الزيت;32535;220;193;13442;13855
Sakiet Sidi Youssef;ساقية سيدي يوسف;7995;240;82;2373;2695
Cebalet Ouled Asker;سبالة أولاد عسكر;13619;207;69;4358;4634
Sbiba;سبيبة;15188;167;122;6301;6590
Sbeitla;سبيطلة;18341;351;151;7279;7781
Sejnane;سجنان;10470;278;85;3978;4341
Essaida;سعيدة;11266;157;96;4619;4872
Soukra;سكرة;51175;387;457;14094;14938
Siliana;سليانة;22943;306;130;6561;6997
Soliman;سليمان;18888;272;136;9045;9453
Sousse;سوسة;102744;921;561;30012;31494
