mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;porcentage_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes;deputy
Sidi Thabet;سيدي ثابت;Liste partisane;Courant Démocrate;التیار الدمقراطي;352;0.0946490992202205;2;10100;147;60;3719;3926;no
Siliana;سليانة;Liste partisane;Courant Démocrate;التیار الدمقراطي;365;0.0556317634506935;1;22943;306;130;6561;6997;no
Sisseb Edheriaat;سيسب الدريعات;Liste partisane;Courant Démocrate;التیار الدمقراطي;346;0.102245862884161;2;9702;141;64;3384;3589;no
Soliman;سليمان;Liste partisane;Courant Démocrate;التیار الدمقراطي;471;0.0520729684908789;1;18888;272;136;9045;9453;no
Sousse;سوسة;Liste partisane;Courant Démocrate;التیار الدمقراطي;2165;0.0721378115420498;3;102744;921;561;30012;31494;no
Tabarka;طبرقة;Liste partisane;Courant Démocrate;التیار الدمقراطي;192;0.0400667779632721;1;17075;312;74;4792;5178;no
Teboulba;طبلبة;Liste partisane;Courant Démocrate;التیار الدمقراطي;260;0.034049240440021;1;17748;170;79;7636;7885;no
Teboulbou;طبلبو;Liste partisane;Courant Démocrate;التیار الدمقراطي;311;0.0699662542182227;1;11479;136;70;4445;4651;no
Teboursouk;تبرسق;Liste partisane;Courant Démocrate;التیار الدمقراطي;233;0.0773829292593823;1;10219;276;70;3011;3357;no
Tunis;تونس;Liste partisane;Courant Démocrate;التیار الدمقراطي;9847;0.123754225891993;8;328134;2831;2058;79569;84458;yes
